disease,description,success
inflammation of heart layer,"inflammation of heart layer, pericarditis is an inflammation of the pericardium—a thin, two-layered sac that surrounds and protects the heart by minimizing friction during its movement.",True
cerebellar degeneration,"cerebellar degeneration, a neurological condition characterized by the progressive loss of cerebellar neurons that impairs coordination, balance, and motor control.",True
Scheie syndrome,"Scheie syndrome, a mild form of mucopolysaccharidosis type I, is a rare genetic lysosomal storage disorder caused by iduronidase deficiency that results in skeletal abnormalities, corneal clouding, and a normal lifespan.",True
hearing loss disorder,"hearing loss disorder, a condition marked by partial or complete inability to hear caused by damage to the outer, middle, or inner ear from factors such as noise exposure, aging, trauma, or neurological issues, which can also impact communication, balance, and cognitive function.",True
non-histaminic angioedema,"non-histaminic angioedema, a disorder characterized by recurrent, non-itchy swelling of subcutaneous and submucosal tissues mediated by bradykinin rather than histamine, often resistant to antihistamines and potentially leading to severe laryngeal and gastrointestinal complications.",True
lymphoid leukemia (disease),"lymphoid leukemia (disease), is a form of blood cancer that arises from lymphoid cells, leading to the uncontrolled production of abnormal lymphocytes which disrupt normal immune and blood cell functions.",True
endophthalmitis,"endophthalmitis, is a severe intraocular infection that causes inflammation of the eye's interior tissues and can lead to rapid and potentially irreversible vision loss if not treated promptly.",True
escherichia coli infection,"escherichia coli infection, a bacterial disease caused by ingesting harmful strains of E. coli that normally reside in the gut, leading to symptoms ranging from mild diarrhea to severe complications such as bloody diarrhea and kidney failure.",True
Waterhouse-Friderichsen syndrome,"Waterhouse-Friderichsen syndrome, a life-threatening condition characterized by sudden adrenal gland failure due to hemorrhage typically triggered by severe bacterial infections like meningococcal septicemia.",True
hemolytic anemia,"hemolytic anemia, a blood disorder in which red blood cells are destroyed faster than they can be produced, leading to a deficiency that causes anemia.",True
endocrine exophthalmos,"endocrine exophthalmos, a condition marked by progressive bulging of the eyes due to pituitary-related orbital tissue changes occurring in the absence of overt thyroid dysfunction.",True
mitral valve prolapse (disease),"mitral valve prolapse (disease), a common heart valve disorder characterized by the abnormal bulging of the mitral valve’s leaflets into the left atrium during contraction, which is often benign but can sometimes lead to complications such as regurgitation.",True
ciliary body disease,"ciliary body disease, a disorder affecting the ciliary body that encompasses various inflammatory, infectious, neoplastic, and developmental conditions that can disrupt its role in eye focusing and aqueous humor production.",True
obsolete superimposed infection,"obsolete superimposed infection, a secondary infection that develops atop an existing infection—often involving pathogens resistant to current treatments—which complicates management and worsens patient outcomes.",True
lactic acidosis,"lactic acidosis, a metabolic disorder characterized by an excessive buildup of lactic acid in the bloodstream due to an imbalance between its production and clearance, often triggered by inadequate tissue oxygenation or metabolic dysfunction.",True
smallpox,"smallpox, a highly contagious and often fatal infectious disease caused by the variola virus that led to severe fever and disfiguring skin rashes before its global eradication in 1980.",True
Lyme disease,"Lyme disease, a tick-borne bacterial infection caused by Borrelia bacteria, can lead to symptoms such as rash, fever, joint pain, and neurological complications if not promptly treated.",True
cystic fibrosis,"cystic fibrosis, a genetic disorder that causes thick, sticky mucus to accumulate in the lungs, pancreas, and other organs, leading to chronic respiratory and digestive complications.",True
female reproductive system neoplasm,"female reproductive system neoplasm, a malignant tumor originating in the organs of the female reproductive system—including the ovaries, uterus, cervix, fallopian tubes, and vagina—characterized by uncontrolled cell growth.",True
citrullinemia,"citrullinemia, a rare inherited disorder that disrupts the urea cycle, causing ammonia and other toxins to accumulate in the blood and resulting in a range of severe symptoms from neonatal crises to milder later-onset forms.",True
congenital hypogonadotropic hypogonadism,"congenital hypogonadotropic hypogonadism, a rare genetically heterogeneous disorder caused by deficient GnRH production or action, results in absent or incomplete pubertal development and infertility, sometimes accompanied by anosmia as observed in Kallmann syndrome.",True
hypochromic anemia,"hypochromic anemia, a condition characterized by pale, often microcytic red blood cells with low hemoglobin levels, most commonly caused by iron deficiency.",True
placental hemangioma,"placental hemangioma, a benign vascular tumor of the placenta that occurs in roughly 0.5–1% of pregnancies and can range from being asymptomatic to causing significant maternal and fetal complications when large.",True
AIDS,"AIDS, a late stage of HIV infection that severely weakens the immune system and increases susceptibility to opportunistic infections and certain cancers.",True
eosinophilic pneumonia,"eosinophilic pneumonia, a rare lung disorder characterized by the abnormal accumulation of eosinophils in the lungs and blood that disrupts normal oxygen exchange.",True
Zygomycosis,"Zygomycosis, a rare and serious fungal infection caused by environmental opportunistic molds that can rapidly invade blood vessels and lead to extensive tissue destruction, primarily affects immunocompromised individuals.",True
asymptomatic neurosyphilis,"asymptomatic neurosyphilis, a form of neurosyphilis in which cerebrospinal fluid abnormalities indicative of syphilis are present without any noticeable neurological symptoms.",True
bacterial pneumonia,"bacterial pneumonia, an infection of the lungs caused by bacteria (commonly Streptococcus) that leads to inflammation, fluid buildup, and acute respiratory symptoms often requiring antibiotic treatment.",True
inborn disorder of porphyrin metabolism,"inborn disorder of porphyrin metabolism, is a group of rare inherited metabolic disorders caused by enzyme deficiencies in the heme biosynthetic pathway that lead to toxic accumulation of porphyrin precursors, resulting in varied neurologic and cutaneous symptoms.",True
social phobia,"social phobia, an anxiety disorder characterized by an overwhelming fear of social situations due to concerns about negative evaluation and scrutiny, often leading to avoidance and significant disruption in daily life.",True
filariasis,"filariasis, a neglected tropical disease caused by mosquito-transmitted parasitic worms that damage the lymphatic system and can lead to severe swelling and disability.",True
Huntington disease-like syndrome due to C9ORF72 expansions,"Huntington disease-like syndrome due to C9ORF72 expansions, is a rare autosomal dominant adult-onset neurodegenerative disorder that mimics Huntington disease with similar motor and cognitive features caused by hexanucleotide repeat expansions in the C9ORF72 gene.",True
acute undifferentiated leukemia,"acute undifferentiated leukemia, a rare form of acute leukemia characterized by the absence of definitive lymphoid or myeloid differentiation markers.",True
oppositional defiant disorder (disease),"oppositional defiant disorder (disease), a condition typically diagnosed in childhood characterized by a persistent pattern of defiant, uncooperative, and hostile behavior toward authority figures that disrupts social, academic, and family functioning.",True
hereditary von Willebrand disease,"hereditary von Willebrand disease, an inherited bleeding disorder caused by genetic mutations that lead to a deficiency or dysfunction of von Willebrand factor, impairing normal blood clotting.",True
acute lymphoblastic/lymphocytic leukemia,"acute lymphoblastic/lymphocytic leukemia, a rapidly progressing cancer of the blood and bone marrow marked by the uncontrolled proliferation of immature lymphocytes that primarily affects children and requires prompt treatment.",True
early myoclonic encephalopathy,"early myoclonic encephalopathy, is a rare neonatal-onset epileptic syndrome characterized by erratic, fragmentary myoclonic jerks and partial or generalized seizures with a burst-suppression EEG pattern, often linked to genetic mutations or metabolic disorders and associated with severe developmental delays.",True
hereditary proximal myopathy with early respiratory failure,"hereditary proximal myopathy with early respiratory failure, is a rare, slowly progressive genetic muscle disorder that typically begins in adulthood with gait disturbances from distal leg weakness and early respiratory compromise due to respiratory muscle involvement.",True
idiopathic achalasia,"idiopathic achalasia, is a rare primary esophageal motor disorder characterized by the loss of peristalsis and abnormal lower esophageal sphincter relaxation that impairs normal swallowing and leads to food retention in the esophagus.",True
familial hypocalciuric hypercalcemia,"familial hypocalciuric hypercalcemia, a benign genetic disorder caused by mutations in the calcium-sensing receptor that results in mild hypercalcemia with low urinary calcium excretion and typically asymptomatic presentation.",True
chordoid glioma of the third ventricle,"chordoid glioma of the third ventricle, is a rare, low-grade brain tumor most often arising from the anterior wall or roof of the third ventricle that exhibits both glial and chordoid features with imaging characteristics similar to intraventricular meningiomas and potential hypothalamic involvement.",True
esophageal ulcer,"esophageal ulcer, a painful open sore in the esophageal lining commonly caused by acid reflux, certain medications, or infections, which can lead to symptoms such as chest pain, heartburn, and difficulty swallowing.",True
hemophagocytic lymphohistiocytosis,"hemophagocytic lymphohistiocytosis, a rare and life-threatening disorder characterized by severe immune dysregulation and hyperinflammation in which overactive lymphocytes and macrophages attack the body's tissues and organs.",True
mycobacterial infectious disease,"mycobacterial infectious disease, a group of illnesses caused by various mycobacteria species—including those causing tuberculosis, leprosy, and atypical nontuberculous infections—that can affect the lungs, skin, lymph nodes, and other organs, often presenting with chronic symptoms and challenging treatment due to antibiotic resistance.",True
diffuse large B-cell lymphoma of the central nervous system,"diffuse large B-cell lymphoma of the central nervous system, a highly aggressive lymphoma confined to the brain and spinal cord that poses significant treatment challenges and is associated with a generally poor prognosis.",True
tinea corporis,"tinea corporis, a common superficial fungal infection characterized by red, scaly, and ring-shaped patches on the skin.",True
Gaucher disease,"Gaucher disease, a rare autosomal recessive genetic disorder caused by a deficiency of the enzyme glucocerebrosidase that leads to fatty substance buildup in cells, resulting in enlarged organs, blood abnormalities, bone issues, and sometimes neurological complications.",True
male infertility with azoospermia or oligozoospermia due to single gene mutation,"male infertility with azoospermia or oligozoospermia due to single gene mutation, is a rare genetic disorder characterized by the absence or markedly reduced number of sperm in the ejaculate (fewer than 15 million/mL), resulting from a mutation in a single gene implicated in sperm production.",True
osteogenesis imperfecta,"osteogenesis imperfecta, a genetic disorder characterized by fragile, easily fractured bones often resulting from minimal trauma and, in some cases, accompanied by features such as blue sclerae, dental imperfections, and hearing loss.",True
parasomnia,"parasomnia, a group of sleep disorders characterized by abnormal movements, behaviors, and emotions during sleep or transitions between sleep and wakefulness.",True
retinopathy of prematurity,"retinopathy of prematurity, an eye disease in premature infants characterized by abnormal retinal blood vessel growth that can lead to vision loss or blindness.",True
methylmalonic acidemia,"methylmalonic acidemia, a group of rare inherited metabolic disorders that impede the breakdown of proteins and fats, leading to a harmful accumulation of acids in the blood and tissues.",True
propionic acidemia,"propionic acidemia, a rare inherited metabolic disorder caused by a deficiency in propionyl-CoA carboxylase that impairs the breakdown of certain amino acids and fats, can lead to life-threatening metabolic crises, neurological dysfunction, and cardiac complications.",True
paratyphoid fever,"paratyphoid fever, a bacterial infection caused by Salmonella enterica serovars Paratyphi A, B, and C that is transmitted through contaminated food or water and presents with symptoms similar to typhoid fever.",True
chromomycosis,"chromomycosis, a chronic, granulomatous fungal infection of the skin and subcutaneous tissue caused by traumatic implantation of dematiaceous fungi that typically produces slowly progressing, wart-like lesions.",True
"essential hypertension, genetic","essential hypertension, genetic, a complex multifactorial disorder characterized by elevated blood pressure resulting from the interplay of multiple genetic variants, gene–gene and gene–environment interactions, and epigenetic influences.",True
celiac disease,"celiac disease, a chronic autoimmune disorder in which gluten ingestion damages the small intestine and impairs nutrient absorption.",True
ovarian epithelial tumor,"ovarian epithelial tumor, a neoplasm arising from the surface lining of the ovary (and related tissues) that comprises the most common form of ovarian cancer with a spectrum ranging from benign to highly malignant lesions and treatment tailored to the stage and individual patient factors.",True
IgG4-related pachymeningitis,"IgG4-related pachymeningitis, a rare fibroinflammatory disorder characterized by chronic dural thickening that can mimic tumor-like lesions and cause neurological symptoms such as headaches and cranial nerve impairment.",True
obsolete rare pulmonary disease,"obsolete rare pulmonary disease, a scarcely encountered respiratory condition affecting a very limited number of individuals and characterized by progressive respiratory impairment, diagnostic challenges, and limited treatment options.",True
hypoplasminogenemia,"hypoplasminogenemia, a genetic plasminogen deficiency disorder that leads to impaired fibrinolysis, causing recurrent, fibrin-rich pseudomembranous lesions on mucous membranes throughout the body.",True
renal fibrosis,"renal fibrosis, a progressive buildup of extracellular matrix in kidney tissues that leads to irreversible scarring and ultimately end-stage renal disease requiring dialysis or transplantation.",True
allergic cutaneous vasculitis,"allergic cutaneous vasculitis, a condition characterized by inflammation of small blood vessels in the skin—often triggered by an allergic reaction to drugs or infections—that typically presents with signs such as purpura and palpable papules.",True
severe congenital neutropenia,"severe congenital neutropenia, a rare genetic disorder characterized by a severe deficiency of mature neutrophils due to impaired bone marrow maturation, leading to recurrent, life-threatening infections starting in infancy.",True
acute lung injury,"acute lung injury, a rapidly developing syndrome marked by diffuse inflammatory damage to the alveolar-capillary barrier that leads to severe hypoxemia, bilateral pulmonary infiltrates, and non-cardiogenic pulmonary edema.",True
lung neoplasm,"lung neoplasm, abnormal growths of lung tissue that can be benign or malignant, typically diagnosed through imaging and biopsy and treated with surgery, chemotherapy, or radiation.",True
limb-girdle muscular dystrophy,"limb-girdle muscular dystrophy, a group of rare inherited disorders characterized by progressive weakening of the proximal muscles, particularly those around the hips and shoulders.",True
esophageal atresia/tracheoesophageal fistula,"esophageal atresia/tracheoesophageal fistula, is a congenital condition in which the esophagus is improperly formed—often with an abnormal connection to the trachea—leading to feeding difficulties and respiratory problems that typically require surgical repair.",True
cerebral malaria,"cerebral malaria, a life-threatening neurological complication of Plasmodium falciparum infection that causes severe encephalopathy and high mortality, particularly among young children in endemic regions.",True
stomatitis,"stomatitis, an inflammation of the mouth's mucous membranes often caused by infections, injuries, or irritants, leading to painful sores and discomfort when eating, talking, or sleeping.",True
antisocial personality disorder,"antisocial personality disorder, a mental health condition characterized by a chronic disregard for the rights and well-being of others, often manifesting as manipulative, harmful behavior without remorse.",True
Sjogren-Larsson syndrome,"Sjogren-Larsson syndrome, a rare autosomal recessive neurocutaneous disorder characterized by congenital ichthyosis, spasticity, and intellectual disability due to a deficiency in fatty aldehyde dehydrogenase.",True
motor peripheral neuropathy,"motor peripheral neuropathy, a condition characterized by damage to the peripheral nerves responsible for transmitting motor signals, resulting in muscle weakness and impaired coordination.",True
mixed anxiety and depressive disorder,"mixed anxiety and depressive disorder, is a diagnostic condition characterized by concurrent, mild to moderate anxiety and depressive symptoms—including some autonomic nervous system features—that do not individually meet full criteria for a specific anxiety or depressive disorder.",True
peliosis hepatis,"peliosis hepatis, a rare liver condition characterized by multiple blood-filled cavities that are often asymptomatic but can lead to hemorrhage and are frequently associated with drugs, infections, or immunosuppressive states.",True
urinary bladder neoplasm,"urinary bladder neoplasm, a malignant tumor arising from the lining of the bladder that typically presents as urothelial carcinoma and can vary from non-invasive to muscle-invasive forms, often associated with chronic inflammation or infection.",True
myringitis bullosa hemorrhagica,"myringitis bullosa hemorrhagica, is a painful ear condition characterized by infection-induced blood-filled blisters on the tympanic membrane that can lead to discomfort and potential hearing issues.",True
acute diarrhea,"acute diarrhea, a short-term condition typically lasting less than two weeks and characterized by loose, watery stools, often caused by infections, medications, or allergies.",True
sebaceous adenocarcinoma,"sebaceous adenocarcinoma, a rare and aggressive skin cancer arising from the oil-producing sebaceous glands, most commonly affecting the eyelids and head and neck area in older adults.",True
drug psychosis,"drug psychosis, a substance-induced psychotic disorder characterized by sudden-onset hallucinations, delusions, and disordered thinking triggered by intoxication, withdrawal, or misuse of drugs, which typically resolves after discontinuing the substance but may persist in some cases.",True
glycogen storage disease,"glycogen storage disease, a group of rare inherited metabolic disorders caused by enzyme deficiencies that disrupt the synthesis, storage, or breakdown of glycogen, leading to abnormal accumulation and energy deficits in the liver, muscles, or other tissues.",True
extrinsic allergic alveolitis,"extrinsic allergic alveolitis, an immune-mediated lung disorder caused by repetitive inhalation of specific environmental antigens that leads to inflammation of the lung parenchyma and small airways.",True
Kasabach-Merritt syndrome,"Kasabach-Merritt syndrome, a rare, life-threatening disorder in infants marked by vascular tumors that trigger severe thrombocytopenia and coagulopathy resulting in dangerous bleeding.",True
bronchitis,"bronchitis, an inflammation of the bronchial tubes that can be acute or chronic and typically causes coughing, mucus buildup, and chest discomfort.",True
pharyngitis,"pharyngitis, a condition characterized by inflammation of the throat that is commonly caused by viral or bacterial infections.",True
pediatric hepatocellular carcinoma,"pediatric hepatocellular carcinoma, a rare and aggressive liver cancer that is the second most common malignant liver tumor in children, distinguished by unique etiologies, biological behavior, and a lower rate of cirrhosis compared to adult cases.",True
polycystic kidney disease,"polycystic kidney disease, a genetic disorder that causes fluid-filled cysts to form in the kidneys and sometimes other organs, often leading to kidney damage and failure.",True
endocarditis,"endocarditis, a serious infection of the heart's inner lining and valves typically caused by bacteria or fungi that can lead to life-threatening complications if not promptly treated.",True
cholelithiasis,"cholelithiasis, a condition characterized by the formation of hardened deposits of bile and cholesterol in the gallbladder or bile ducts that can lead to pain, inflammation, and blockage of bile flow.",True
restrictive cardiomyopathy,"restrictive cardiomyopathy, a rare heart condition characterized by stiff ventricles that hinder normal diastolic filling, potentially leading to heart failure and arrhythmias.",True
C-cell hyperplasia,"C-cell hyperplasia, a condition marked by an increased and abnormal distribution of thyroid parafollicular C-cells often associated with RET proto-oncogene mutations and considered a precursor to medullary thyroid carcinoma.",True
Pseudomonas aeruginosa infectious disease,"Pseudomonas aeruginosa infectious disease, an illness caused by a gram-negative, opportunistic pathogen commonly found in water, soil, and moist environments, which leads to severe hospital-acquired and opportunistic infections affecting the lungs, blood, urinary tract, wounds, and other parts of the body.",True
trichomoniasis,"trichomoniasis, a common sexually transmitted infection caused by the protozoan parasite Trichomonas vaginalis that often produces vaginal discharge, itching, and painful urination in women while typically remaining asymptomatic in men, but is readily treatable with antibiotics.",True
malignant hypertension,"malignant hypertension, a severe and sudden spike in blood pressure that causes rapid, multi-organ damage and constitutes a life-threatening medical emergency.",True
congenital ichthyosiform erythroderma,"congenital ichthyosiform erythroderma, a rare autosomal recessive skin disorder that typically presents in the neonatal period with a collodion membrane giving way to generalized redness and fine, white scaling.",True
Pediculus humanus corporis infestation,"Pediculus humanus corporis infestation, a parasitic condition caused by body lice that reside in clothing and feed on human blood, leading to itchy skin and localized rashes where clothing contacts the skin.",True
infectious otitis media,"infectious otitis media, a middle ear infection marked by rapid onset ear pain, fever, and fluid buildup that often follows a cold or respiratory infection.",True
urinary bladder carcinoma,"urinary bladder carcinoma, a cancer originating in the bladder's lining—most commonly as urothelial carcinoma—that is often linked to chronic inflammation, infections, or long-term catheter use and typically presents with symptoms such as blood in the urine.",True
cutaneous mycosis,"cutaneous mycosis, a superficial fungal infection of the skin, hair, and nails typically caused by dermatophytes or Candida species that manifests as localized rashes and ring-like lesions.",True
brain aneurysm,"brain aneurysm, a bulge in a weakened artery wall in the brain that can rupture and cause bleeding.",True
neuromyelitis optica,"neuromyelitis optica, a rare autoimmune disorder that causes inflammation and demyelination of the optic nerves and spinal cord.",True
diabetic polyneuropathy,"diabetic polyneuropathy, a complication of diabetes that damages multiple peripheral nerves—particularly in the lower limbs—resulting in symptoms such as pain, numbness, and tingling.",True
Peyronie disease,"Peyronie disease, a condition in which scar tissue forms in the penis causing curvature, pain during erections, and potential erectile issues.",True
pituitary deficiency,"pituitary deficiency, a condition in which the pituitary gland fails to produce enough hormones, leading to a range of issues such as impaired growth, metabolism, blood pressure regulation, and reproductive functions.",True
gonococcal infection of joint,"gonococcal infection of joint, a complication of gonorrhea caused by the hematogenous spread of Neisseria gonorrhoeae that results in painful, inflamed joints requiring prompt antibiotic treatment.",True
Miyoshi muscular dystrophy,"Miyoshi muscular dystrophy, an autosomal recessive disorder characterized by early-adult onset of progressive distal leg muscle weakness and atrophy primarily caused by genetic mutations in the dysferlin gene.",True
Hashimoto thyroiditis,"Hashimoto thyroiditis, an autoimmune disorder that causes chronic inflammation and destruction of the thyroid gland, leading to hypothyroidism.",True
blindness (disorder),"blindness (disorder), a condition characterized by significantly reduced or absent vision—ranging from partial loss (low vision) to complete inability to perceive light—resulting from diverse causes such as congenital factors, age-related diseases, and ocular injuries.",True
sweat gland cancer,"sweat gland cancer, a rare malignant skin tumor originating from sweat glands that typically presents as a slow-growing lesion with potential for local invasion and early metastasis and shows diverse histological patterns.",True
amyotrophic lateral sclerosis,"amyotrophic lateral sclerosis, a progressive and fatal neurodegenerative disease that impairs motor neurons in the brain and spinal cord, leading to muscle weakness, loss of control, and eventual paralysis.",True
"hyperinsulinemic hypoglycemia, familial","hyperinsulinemic hypoglycemia, familial, is a genetic disorder caused by mutations that impair the normal regulatory feedback of insulin secretion, leading to persistent and severe hypoglycemia primarily in infancy.",True
type II mixed cryoglobulinemia,"type II mixed cryoglobulinemia, is a condition characterized by circulating immune complexes composed of monoclonal IgM with rheumatoid factor activity bound to polyclonal IgG, commonly associated with chronic hepatitis C infection and presenting with symptoms such as purpura, arthralgia, and fatigue.",True
tuberculosis,"tuberculosis, a contagious disease caused by Mycobacterium tuberculosis that primarily affects the lungs and spreads through the air when infected individuals cough or sneeze.",True
punctate epithelial keratoconjunctivitis,"punctate epithelial keratoconjunctivitis, a corneal condition marked by small, discrete intraepithelial lesions surrounded by focal inflammation that produce characteristic punctate staining and can lead to pain, redness, and visual impairment.",True
canker sore,"canker sore, a common non-contagious condition characterized by small, painful ulcers in the mouth that can be triggered by stress, nutritional deficiencies, or other underlying factors and typically heal on their own within several days to a week.",True
obsolete autosomal dominant limb-girdle muscular dystrophy type 1C,"obsolete autosomal dominant limb-girdle muscular dystrophy type 1C, a rare neuromuscular disorder caused by CAV3 gene mutations that leads to variable onset muscle weakness and exercise-induced cramps.",True
malignant otitis externa caused by Pseudomonas aeruginosa,"malignant otitis externa caused by Pseudomonas aeruginosa, is an aggressive, necrotizing infection of the external auditory canal and temporal bone that often leads to skull base osteomyelitis in elderly, diabetic, or immunocompromised patients.",True
bulimia nervosa,"bulimia nervosa, a serious and potentially life-threatening eating disorder characterized by recurrent episodes of binge eating followed by compensatory behaviors such as self-induced vomiting, excessive exercise, or fasting.",True
neuronal ceroid lipofuscinosis,"neuronal ceroid lipofuscinosis, a group of rare inherited neurodegenerative lysosomal storage disorders characterized by the progressive accumulation of autofluorescent lipopigments in neurons leading to vision loss, seizures, and cognitive decline.",True
rheumatologic disorder,"rheumatologic disorder, a collective term for over 100 inflammatory conditions affecting the joints, muscles, and connective tissues, often causing chronic pain, stiffness, and swelling.",True
bartonellosis,"bartonellosis, a group of infectious diseases caused by Bartonella bacteria and transmitted through vectors such as fleas, lice, or ticks that can lead to conditions like cat scratch disease, trench fever, and Carrion’s disease.",True
paroxysmal Hemicrania,"paroxysmal Hemicrania, a rare primary headache disorder characterized by recurrent, sudden, severe unilateral pain in the head or face accompanied by cranial autonomic symptoms.",True
peripheral vascular disease,"peripheral vascular disease, a circulatory disorder characterized by the narrowing or blockage of blood vessels outside the heart—primarily due to atherosclerosis—that reduces blood flow to the limbs and other organs.",True
dermatitis herpetiformis,"dermatitis herpetiformis, a chronic autoimmune skin condition linked to gluten sensitivity and celiac disease that causes an intensely itchy, blistering rash often on extensor surfaces and can be managed with a gluten-free diet and medication.",True
progressive muscular dystrophy,"progressive muscular dystrophy, a group of inherited genetic disorders characterized by the gradual weakening and wasting of muscles over time due to mutations that impair muscle function.",True
exfoliative dermatitis,"exfoliative dermatitis, a severe skin condition characterized by widespread redness, scaling, and peeling affecting most or all of the body, often triggered by skin diseases, drug reactions, or other underlying conditions.",True
verrucous hemangioma,"verrucous hemangioma, a rare congenital vascular malformation typically present at birth or in early childhood that initially appears as a bluish-red, soft lesion and progressively develops a hyperkeratotic, verrucous surface, often requiring deep excision to prevent recurrence.",True
scleroderma (disease),"scleroderma (disease), is a rare autoimmune condition characterized by excessive collagen production that causes skin thickening, fibrosis, and may also affect internal organs and blood vessels.",True
Lennox-Gastaut syndrome,"Lennox-Gastaut syndrome, a rare and severe childhood-onset epilepsy, is characterized by multiple seizure types, distinctive abnormal EEG patterns, and cognitive impairments.",True
atrioventricular block,"atrioventricular block, a heart condition marked by a delay or disruption in the electrical conduction from the atria to the ventricles that can lead to various heart rhythm disturbances.",True
unipolar depression,"unipolar depression, a common and serious mood disorder characterized by persistent depressive episodes—with symptoms such as overwhelming sadness, cognitive impairments, and difficulty in daily functioning—occurring in the absence of manic or hypomanic episodes.",True
onchocerciasis,"onchocerciasis, a parasitic disease transmitted by blackflies that causes skin irritation, rashes, and potential blindness.",True
conjunctivitis (disease),"conjunctivitis (disease), commonly known as pink eye, is an inflammation of the conjunctiva caused by viral or bacterial infections, allergies, or other irritants that results in red, swollen, and often uncomfortable eyes and can be highly contagious.",True
Turner syndrome,"Turner syndrome, a chromosomal disorder affecting individuals assigned female at birth due to a missing or partially missing X chromosome, is characterized by short stature, ovarian insufficiency, heart defects, and various other health complications.",True
refractory celiac disease,"refractory celiac disease, a rare form of celiac disease in which patients continue to experience malabsorptive symptoms and intestinal damage despite at least 6–12 months of strict adherence to a gluten-free diet.",True
juvenile polymyositis,"juvenile polymyositis, a rare autoimmune disease in children characterized by direct T cell-mediated muscle inflammation that leads to progressive muscle weakness and can affect multiple organ systems.",True
ovarian carcinosarcoma,"ovarian carcinosarcoma, a rare and aggressive ovarian cancer characterized by both carcinoma and sarcoma components and accounting for 1–4% of ovarian tumors with a poor prognosis.",True
coccidioidomycosis,"coccidioidomycosis, a fungal infection caused by Coccidioides spp. that is typically acquired by inhaling airborne soil spores, primarily affecting the lungs with the potential to disseminate to other organs.",True
ermine phenotype,"ermine phenotype, a rare genetic disorder characterized by bilateral sensorineural hearing loss and distinctive pigmentation anomalies—including white hair with scattered black tufts and patchy skin depigmentation—resulting from pathogenic genetic mutations.",True
bladder neck obstruction,"bladder neck obstruction, a condition in which the bladder’s neck is blocked or fails to open properly during urination, preventing complete emptying and often requiring treatments such as medication or surgery.",True
Plasmodium ovale malaria,"Plasmodium ovale malaria, a relapsing non-falciparum infection transmitted by Anopheles mosquitoes, is characterized by a tertian fever cycle and low-level parasitemia due to dormant liver hypnozoites.",True
Takayasu arteritis,"Takayasu arteritis, a rare chronic inflammatory disease that primarily targets the aorta and its branches, causing vascular narrowing and possible occlusion, typically in young women.",True
bone marrow neoplasm,"bone marrow neoplasm, a malignant tumor originating in the blood-forming tissue of the bone marrow that encompasses cancers such as leukemia, multiple myeloma, lymphoma, and myeloproliferative disorders.",True
renin-angiotensin-aldosterone system-blocker-induced angioedema,"renin-angiotensin-aldosterone system-blocker-induced angioedema, an acquired bradykinin-mediated condition most commonly linked to ACE inhibitors and other RAAS blockers, presents with rapid, potentially life-threatening swelling of subcutaneous tissues, internal organs, or the upper airway.",True
pulmonary hypertension,"pulmonary hypertension, a condition characterized by high blood pressure in the arteries of the lungs that forces the heart to work harder and can lead to serious health complications.",True
malignant glioma,"malignant glioma, an aggressive primary brain tumor arising from glial cells that accounts for the majority of malignant central nervous system tumors.",True
skeletal muscle disease,"skeletal muscle disease, a condition characterized by dysfunction and degeneration of the muscles attached to the bones that leads to progressive weakness and impaired mobility.",True
miliary tuberculosis,"miliary tuberculosis, a severe and potentially fatal form of tuberculosis characterized by widespread hematogenous spread of Mycobacterium tuberculosis that produces tiny millet seed-like lesions in multiple organs.",True
male infertility with spermatogenesis disorder,"male infertility with spermatogenesis disorder, a condition characterized by impaired or absent sperm production due to genetic, hormonal, or testicular abnormalities that disrupt normal spermatogenesis and compromise fertility.",True
attenuated Chédiak-Higashi syndrome,"attenuated Chédiak-Higashi syndrome, a very rare autosomal recessive genetic disorder characterized by partial oculocutaneous albinism, immunodeficiency, mild bleeding, and progressive neurological dysfunction.",True
familial papillary thyroid carcinoma with renal papillary neoplasia,"familial papillary thyroid carcinoma with renal papillary neoplasia, is an extremely rare inherited tumor syndrome characterized by the familial occurrence of nonmedullary papillary thyroid cancer coupled with papillary renal neoplasia and linked to a susceptibility gene on chromosome 1q21.",True
acute myeloid leukemia with inv3(p21;q26.2) or t(3;3)(p21;q26.2),"acute myeloid leukemia with inv3(p21;q26.2) or t(3;3)(p21;q26.2), is a rare and aggressive subtype of AML defined by chromosomal rearrangements of chromosome 3 that lead to deregulated GATA2 and MECOM/EVI1 expression, resulting in uncontrolled myeloid cell proliferation and a distinct clinical and prognostic profile.",True
facioscapulohumeral muscular dystrophy,"facioscapulohumeral muscular dystrophy, a genetic disorder that progressively weakens the muscles of the face, shoulders, and upper arms, often leading to asymmetric muscle involvement and variable levels of disability.",True
acquired aplastic anemia,"acquired aplastic anemia, a rare immune-mediated disorder in which bone marrow failure leads to pancytopenia, resulting in life-threatening deficiencies in blood cell production that require treatments such as immunosuppressive therapy or stem cell transplantation.",True
macular degeneration,"macular degeneration, an age-related eye disease that damages the central part of the retina (macula) and leads to gradual loss of central vision.",True
xeroderma pigmentosum-Cockayne syndrome complex,"xeroderma pigmentosum-Cockayne syndrome complex, a rare autosomal recessive disorder characterized by the combined skin photosensitivity and pigmentary changes of xeroderma pigmentosum with the neurodegenerative and systemic features of Cockayne syndrome due to impaired DNA repair.",True
