disease,count,top1_disease,top2_disease,top3_disease,top4_disease,top5_disease,top1_mesh,top2_mesh,top3_mesh,top4_mesh,top5_mesh
Hyperplastic Polyp,3,Hyperplasia,Prostatic Hyperplasia,Colonic Polyps,Persistent Hyperplastic Primary Vitreous,Endometrial Hyperplasia,D006965,D011470,D003111,D054514,D004714
Sessile Serrated Adenoma/Polyp,3,Colonic Polyps,Sigmoid Neoplasms,Nasal Polyps,"Adenoma, Villous",Serratia Infections,D003111,D012811,D009298,D018253,D016868
"Amyotrophic Lateral Sclerosis, Familial",3,Amyotrophic Lateral Sclerosis,Familial Multiple Lipomatosis,Familial Exudative Vitreoretinopathies,"Amyloid Neuropathies, Familial","Lipodystrophy, Familial Partial",D000690,D000071070,D000080345,D028227,D052496
Juvenile Neuronal Ceroid Lipofuscinosis,3,Neuronal Ceroid-Lipofuscinoses,"Xanthogranuloma, Juvenile","Refsum Disease, Infantile","Myoclonic Epilepsy, Juvenile","Xanthomatosis, Cerebrotendinous",D009472,D014972,D052919,D020190,D019294
Monocytosis,3,Melorheostosis,Infectious Mononucleosis,Meningism,Pancytopenia,Splenosis,D008557,D007244,D008580,D010198,D017890
Diabetic Retinopathy,3,Diabetic Retinopathy,Diabetic Cardiomyopathies,Diabetic Neuropathies,Diabetic Foot,Diabetic Nephropathies,D003930,D058065,D003929,D017719,D003928
Papillary Renal Cell Carcinoma,3,"Carcinoma, Papillary","Carcinoma, Renal Cell","Thyroid Cancer, Papillary",Kidney Papillary Necrosis,"Carcinoma, Papillary, Follicular",D002291,D002292,D000077273,D007681,D018265
Plasma Cell Leukemia,3,"Leukemia, Plasma Cell",Plasmablastic Lymphoma,Plasmacytoma,"Plasma Cell Granuloma, Pulmonary","Leukemia, Hairy Cell",D007952,D000069293,D010954,D016726,D007943
Venous Thromboembolism,3,Venous Thromboembolism,Thromboangiitis Obliterans,Pulmonary Veno-Occlusive Disease,Hemorrhagic Stroke,Embolic Stroke,D054556,D013919,D011668,D000083302,D000083262
Tendinopathy,3,Elbow Tendinopathy,Enthesopathy,Posterior Tibial Tendon Dysfunction,Rotator Cuff Tear Arthropathy,Pseudoxanthoma Elasticum,D000070639,D000070676,D037081,D000070656,D011561
Fibrosis; Liver,3,"Liver Cirrhosis, Alcoholic",Pulmonary Fibrosis,"Liver Cirrhosis, Biliary",Peritoneal Fibrosis,"Fatty Liver, Alcoholic",D008104,D011658,D008105,D056627,D005235
Basal Cell Carcinoma,3,Basal Cell Nevus Syndrome,Nasopharyngeal Carcinoma,Esophageal Squamous Cell Carcinoma,"Carcinoma, Papillary","Carcinoma, Skin Appendage",D001478,D000077274,D000077277,D002291,D018280
Autosomal Dominant Hyper-Ige Syndrome,3,"Ectodermal Dysplasia, Hypohidrotic, Autosomal Recessive",Hyper-IgM Immunodeficiency Syndrome,"Optic Atrophy, Autosomal Dominant","Eczema, Dyshidrotic","Hyper-IgM Immunodeficiency Syndrome, Type 1",D053360,D053306,D029241,D011146,D053307
Metastatic Prostate Cancer,3,"Prostatic Neoplasms, Castration-Resistant",Neoplasm Micrometastasis,Lymphatic Metastasis,Pelvic Neoplasms,Prostatic Intraepithelial Neoplasia,D064129,D061206,D008207,D010386,D019048
Lung Tumor,3,"Carcinoma, Lewis Lung",Bronchial Neoplasms,Small Cell Lung Carcinoma,Tracheal Neoplasms,Lung Abscess,D018827,D001984,D055752,D014134,D008169
Pancreatic Tumor,3,"Carcinoma, Pancreatic Ductal",Pancreatic Intraductal Neoplasms,Pelvic Neoplasms,Parotid Neoplasms,Pituitary Neoplasms,D021441,D000077779,D010386,D010307,D010911
Gestational Hypertension,3,"Hypertension, Pregnancy-Induced","Diabetes, Gestational",Gestational Weight Gain,"Hypertension, Pulmonary",Pulmonary Arterial Hypertension,D046110,D016640,D000078064,D006976,D000081029
Ciliopathy,3,Channelopathies,Synucleinopathies,Enthesopathy,Polypoidal Choroidal Vasculopathy,Adrenoleukodystrophy,D053447,D000080874,D000070676,D000092342,D000326
Chronic Graft-Versus-Host Disease,3,"Granulomatous Disease, Chronic","Hepatitis C, Chronic","Candidiasis, Chronic Mucocutaneous","Hepatitis B, Chronic","Brain Injury, Chronic",D006105,D019698,D002178,D019694,D020208
H Syndrome,3,Wolf-Hirschhorn Syndrome,Syndrome,Horner Syndrome,Pallister-Hall Syndrome,Lesch-Nyhan Syndrome,D054877,D013577,D006732,D054975,D007926
AIPL1-Leber Congenital Amaurosis,3,Leber Congenital Amaurosis,"Optic Atrophy, Hereditary, Leber","Nystagmus, Congenital","Cystic Adenomatoid Malformation of Lung, Congenital",LEOPARD Syndrome,D057130,D029242,D020417,D015615,D044542
Non-Sjogren's sicca,3,Sjogren's Syndrome,Sjogren-Larsson Syndrome,Keratoconjunctivitis Sicca,"Endocarditis, Non-Infective",Scleritis,D012859,D016111,D007638,D059905,D015423
Glioblastoma Multiforme,3,Glioblastoma,"Histiocytoma, Malignant Fibrous",Gliosarcoma,Meningioma,"Glioma, Subependymal",D005909,D051677,D018316,D008579,D018315
Environmental Enteric Dysfunction,3,Equine Infectious Anemia,Immunoproliferative Small Intestinal Disease,Enterotoxemia,Enterobiasis,"Enterocolitis, Neutropenic",D004859,D007161,D004767,D017229,D044504
Pitt-Hopkins Syndrome,3,Pallister-Hall Syndrome,Postphlebitic Syndrome,Postural Orthostatic Tachycardia Syndrome,Pityriasis Rosea,Hammer Toe Syndrome,D054975,D011186,D054972,D017515,D037801
Burn,3,"Burns, Chemical",Eye Burns,"Burns, Electric",Sunburn,Blast Injuries,D002057,D005126,D002058,D013471,D001753
Oropharyngeal Cancer,3,Tongue Neoplasms,Palatal Neoplasms,Nasopharyngeal Carcinoma,Hypopharyngeal Neoplasms,Squamous Cell Carcinoma of Head and Neck,D014062,D010157,D000077274,D007012,D000077195
Pancreatic Adenocarcinoma,3,"Carcinoma, Pancreatic Ductal",Pancreatic Intraductal Neoplasms,"Adenocarcinoma, Bronchiolo-Alveolar",Anal Gland Neoplasms,Pancreatic Fistula,D021441,D000077779,D002282,D000694,D010185
Invasive Breast Carcinoma,3,Breast Carcinoma In Situ,"Carcinoma, Ductal, Breast","Carcinoma, Lobular","Carcinoma, Pancreatic Ductal",Inflammatory Breast Neoplasms,D000071960,D018270,D018275,D021441,D058922
Liver Hepatocellular Carcinoma,3,"Carcinoma, Hepatocellular",Hepatoblastoma,"Liver Neoplasms, Experimental","Adenoma, Liver Cell",Hepatomegaly,D006528,D018197,D008114,D018248,D006529
Airway Injury,3,Lung Injury,Smoke Inhalation Injury,Airway Remodeling,Abducens Nerve Injury,Occupational Injuries,D055370,D015208,D056151,D020222,D060051
Meningitis,3,"Meningitis, Pneumococcal","Meningitis, Listeria","Meningitis, Haemophilus","Meningitis, Aseptic","Meningitis, Cryptococcal",D008586,D008584,D008583,D008582,D016919
Pituitary Tumor,3,Pituitary Neoplasms,Growth Hormone-Secreting Pituitary Adenoma,ACTH-Secreting Pituitary Adenoma,"Dwarfism, Pituitary",Pinealoma,D010911,D049912,D049913,D004393,D010871
Systemic Sclerosis With Lung Involvement,3,"Scleroderma, Diffuse",Sclerosis,Diffuse Cerebral Sclerosis of Schilder,"Sarcoidosis, Pulmonary","Scleroderma, Localized",D045743,D012598,D002549,D017565,D012594
Gestational Diabetes Mellitus,3,"Diabetes, Gestational",Gestational Weight Gain,"Diabetes Mellitus, Type 1","Diabetes Mellitus, Experimental",Congenital Disorders of Glycosylation,D016640,D000078064,D003922,D003921,D018981
Gaucher Disease,3,Gaucher Disease,Gilbert Disease,Glycogen Storage Disease Type I,Glycogen Storage Disease Type II,Darier Disease,D005776,D005878,D005953,D006009,D007644
Atopic Eczema,3,"Dermatitis, Atopic","Eczema, Dyshidrotic",Dermatitis Herpetiformis,Asthenopia,Eosinophilic Esophagitis,D003876,D011146,D003874,D001248,D057765
Severe Trauma,3,Severe Dengue,"Shock, Traumatic",Severe Acute Respiratory Syndrome,Severe Fever with Thrombocytopenia Syndrome,"Shock, Hemorrhagic",D019595,D012774,D045169,D000085142,D012771
Sezary Syndrome,3,Sezary Syndrome,Syndrome,Cushing Syndrome,Reye Syndrome,Scimitar Syndrome,D012751,D013577,D003480,D012202,D012587
HIV-1 Infection,3,HTLV-I Infections,HIV Seropositivity,AIDS-Related Opportunistic Infections,HIV-Associated Lipodystrophy Syndrome,HTLV-II Infections,D015490,D006679,D017088,D039682,D015491
Immune Dysregulation,3,Immune Reconstitution Inflammatory Syndrome,Autoimmune Lymphoproliferative Syndrome,Hyper-IgM Immunodeficiency Syndrome,Immunoproliferative Small Intestinal Disease,Dysbiosis,D054019,D056735,D053306,D007161,D064806
Alcohol Use Disorder,3,Fetal Alcohol Spectrum Disorders,Alcoholic Intoxication,Tobacco Use Disorder,Alcoholism,Alcohol Withdrawal Delirium,D063647,D000435,D014029,D000437,D000430
Oxidation Resistance 1 Mutation,3,Disease Resistance,Thyroid Hormone Resistance Syndrome,Ornithine Carbamoyltransferase Deficiency Disease,Hyperoxia,Activated Protein C Resistance,D060467,D018382,D020163,D018496,D020016
Multiple System Atrophy,3,Multiple System Atrophy,Multiple Organ Failure,Multiple Sulfatase Deficiency Disease,"Fractures, Multiple",Multiple Myeloma,D019578,D009102,D052517,D000069076,D009101
Neurofibromatosis Type 1,3,Neurofibromatosis 1,Neurofibromatosis 2,"Neurofibroma, Plexiform","von Willebrand Disease, Type 1","von Willebrand Disease, Type 2",D009456,D016518,D018318,D056725,D056728
Rash,3,Diaper Rash,Reticulocytosis,"Dermatitis, Atopic","Dermatitis, Photoallergic","Encephalitis, Varicella Zoster",D003963,D045262,D003876,D017454,D020804
Myotonic Dystrophy,3,Myotonic Dystrophy,"Muscular Dystrophy, Duchenne",Myotonia Congenita,Dystonia Musculorum Deformans,"Muscular Dystrophy, Facioscapulohumeral",D009223,D020388,D009224,D004422,D020391
Cardioembolic Stroke,3,Embolic Stroke,Cardiovirus Infections,"Embolism, Paradoxical",Intracranial Embolism,Hemorrhagic Stroke,D000083262,D018188,D019320,D020766,D000083302
Plaque Psoriasis,3,Dental Plaque,"Plaque, Atherosclerotic","Plaque, Amyloid","Dermatitis, Perioral","Arthritis, Psoriatic",D003773,D058226,D058225,D019557,D015535
Chronic Spontaneous Urticaria,3,"Urticaria, Solar",Erythema Chronicum Migrans,"Jaundice, Chronic Idiopathic","Candidiasis, Chronic Mucocutaneous","Multiple Sclerosis, Chronic Progressive",D000092130,D015787,D007566,D002178,D020528
Leishmaniasis,3,"Leishmaniasis, Diffuse Cutaneous","Leishmaniasis, Mucocutaneous","Leishmaniasis, Visceral",Loiasis,Legionnaires' Disease,D016774,D007897,D007898,D008118,D007877
Friedreich Ataxia,3,Friedreich Ataxia,Cerebellar Ataxia,Gait Ataxia,Fabry Disease,Ataxia Telangiectasia,D005621,D002524,D020234,D000795,D001260
Muscular Dystrophy,3,Myotonic Dystrophy,"Muscular Dystrophy, Duchenne","Muscular Dystrophy, Oculopharyngeal","Muscular Dystrophy, Facioscapulohumeral",Reflex Sympathetic Dystrophy,D009223,D020388,D039141,D020391,D012019
Peripartum Cardiomyopathy,3,Takotsubo Cardiomyopathy,Chagas Cardiomyopathy,"Cardiomyopathy, Dilated",Isolated Noncompaction of the Ventricular Myocardium,"Cardiomyopathy, Restrictive",D054549,D002598,D002311,D056830,D002313
Keratopathy,3,Keratoconus,"Keratosis, Actinic",Keratoconjunctivitis Sicca,"Keratosis, Seborrheic",Corneal Ulcer,D007640,D055623,D007638,D017492,D003320
Spinal And Bulbar Muscular Atrophy,3,"Bulbo-Spinal Atrophy, X-Linked",Spinal Muscular Atrophies of Childhood,Multiple System Atrophy,Olivopontocerebellar Atrophies,"Bulbar Palsy, Progressive",D055534,D014897,D019578,D009849,D010244
Pulmonary Tuberculosis,3,"Tuberculosis, Cutaneous","Tuberculosis, Pleural","Tuberculosis, Bovine",Pulmonary Fibrosis,Pulmonary Heart Disease,D014382,D014396,D014380,D011658,D011660
Emery-Dreifuss Muscular Dystrophy,3,"Muscular Dystrophy, Duchenne","Muscular Dystrophy, Facioscapulohumeral",Myotonic Dystrophy,"Muscular Dystrophy, Oculopharyngeal",Cone-Rod Dystrophies,D020388,D020391,D009223,D039141,D000071700
Ductal Carcinoma In Situ,3,Breast Carcinoma In Situ,"Carcinoma, Ductal, Breast",Adenocarcinoma in Situ,"Carcinoma, Pancreatic Ductal","Carcinoma, Intraductal, Noninfiltrating",D000071960,D018270,D065311,D021441,D002285
Acute Pancreatitis,3,"Pancreatitis, Acute Necrotizing","Pancreatitis, Acute Hemorrhagic",Autoimmune Pancreatitis,"Pancreatitis, Alcoholic",Acute Pain,D019283,D000081032,D000081012,D019512,D059787
Active Uveitis,3,Aortitis,Infectious Mononucleosis,"Vitreoretinopathy, Proliferative","Ectromelia, Infectious","Synovitis, Pigmented Villonodular",D001025,D007244,D018630,D004482,D013586
Community Acquired Pneumonia,3,Community-Acquired Infections,Chlamydial Pneumonia,"Pneumonia, Ventilator-Associated","Pneumonia, Mycoplasma","Pneumonia, Pneumocystis",D017714,D061387,D053717,D011019,D011020
Lichen Planus,3,"Lichen Planus, Oral",Pityriasis Lichenoides,Pars Planitis,Vulvar Lichen Sclerosus,Lichen Sclerosus et Atrophicus,D017676,D017514,D015868,D007724,D018459
Tongue Carcinoma,3,Tongue Neoplasms,Nasopharyngeal Carcinoma,Squamous Cell Carcinoma of Head and Neck,"Carcinoma, Lewis Lung","Carcinoma, Hepatocellular",D014062,D000077274,D000077195,D018827,D006528
Disorganized Schizophrenia,3,Neuroleptic Malignant Syndrome,Synucleinopathies,Dentinogenesis Imperfecta,Odontodysplasia,Hyponatremia,D009459,D000080874,D003811,D018126,D007010
Schizoaffective Disorder,3,Alexander Disease,"Psychoses, Alcoholic",Leukoaraiosis,Adrenoleukodystrophy,"Spondylitis, Ankylosing",D038261,D011604,D049292,D000326,D013167
Shwachman-Diamond Syndrome,3,Shwachman-Diamond Syndrome,Shy-Drager Syndrome,Shwartzman Phenomenon,"Anemia, Diamond-Blackfan",Denys-Drash Syndrome,D000081003,D012791,D012790,D029503,D030321
Ataxia-Telangiectasia,3,Ataxia Telangiectasia,Retinal Telangiectasis,"Telangiectasia, Hereditary Hemorrhagic",Cerebellar Ataxia,Gait Ataxia,D001260,D058456,D013683,D002524,D020234
St Segment Elevation Myocardial Infarction,3,ST Elevation Myocardial Infarction,Non-ST Elevated Myocardial Infarction,Myocardial Stunning,Anterior Wall Myocardial Infarction,Inferior Wall Myocardial Infarction,D000072657,D000072658,D017682,D056988,D056989
Lyme Disease,3,Lyme Neuroborreliosis,Post-Lyme Disease Syndrome,Legionnaires' Disease,Newcastle Disease,Leiomyomatosis,D020852,D000077342,D007877,D009521,D018231
Acute Liver Inflammation,3,Acute Disease,Acute-On-Chronic Liver Failure,Acute Pain,"Abdomen, Acute","Chemical and Drug Induced Liver Injury, Chronic",D000208,D065290,D059787,D000006,D056487
Anaplastic Thyroid Carcinoma,3,"Thyroid Carcinoma, Anaplastic","Thyroid Cancer, Papillary","Carcinoma, Papillary","Carcinoma, Papillary, Follicular",Adrenocortical Carcinoma,D065646,D000077273,D002291,D018265,D018268
Metastatic Melanoma,3,Melanoma,Neoplasm Micrometastasis,Lymphatic Metastasis,Mutism,"Melanoma, Amelanotic",D008545,D061206,D008207,D009155,D018328
Liver Tumor,3,"Liver Neoplasms, Experimental","Adenoma, Liver Cell",Hepatoblastoma,"Carcinoma, Hepatocellular",Hepatomegaly,D008114,D018248,D018197,D006528,D006529
T-Cell Leukemia,3,"Leukemia-Lymphoma, Adult T-Cell",Precursor T-Cell Lymphoblastic Leukemia-Lymphoma,"Leukemia, Prolymphocytic, T-Cell","Leukemia, Hairy Cell","Leukemia, Lymphocytic, Chronic, B-Cell",D015459,D054218,D015461,D007943,D015451
Acute Coronary Syndrome,3,Acute Coronary Syndrome,Acute Chest Syndrome,Acute Retroviral Syndrome,Coronary Artery Disease,Acute Disease,D054058,D056586,D000071297,D003324,D000208
Irritable Bowel Syndrome With Diarrhea,2,Irritable Bowel Syndrome,Short Bowel Syndrome,"Diarrhea, Infantile",Rumination Syndrome,Afferent Loop Syndrome,D043183,D012778,D003968,D000079562,D000343
Urothelial Carcinoma of The Urinary Bladder,2,Urethral Neoplasms,"Carcinoma, Transitional Cell",Ureteral Neoplasms,Urinary Bladder Calculi,"Carcinoma, Renal Cell",D014523,D002295,D014516,D001744,D002292
Severe Combined Immunodeficiency,2,Severe Combined Immunodeficiency,X-Linked Combined Immunodeficiency Diseases,Common Variable Immunodeficiency,Acquired Immunodeficiency Syndrome,Simian Acquired Immunodeficiency Syndrome,D016511,D053632,D017074,D000163,D016097
Kidney Disease,2,Chronic Kidney Disease-Mineral and Bone Disorder,Chronic Kidney Diseases of Uncertain Etiology,Diabetic Nephropathies,Kidney Papillary Necrosis,Kidney Cortex Necrosis,D012080,D000092702,D003928,D007681,D007673
Chronic Liver Disease,2,"Hepatitis C, Chronic","Hepatitis B, Chronic","Chemical and Drug Induced Liver Injury, Chronic",Acute-On-Chronic Liver Failure,"Hepatitis D, Chronic",D019698,D019694,D056487,D065290,D019701
Pituitary Adenoma,2,ACTH-Secreting Pituitary Adenoma,Pituitary Neoplasms,Growth Hormone-Secreting Pituitary Adenoma,Adrenocortical Adenoma,Prolactinoma,D049913,D010911,D049912,D018246,D015175
Mitochondrial Myopathy,2,Mitochondrial Encephalomyopathies,Distal Myopathies,Myocarditis,"Myopathies, Nemaline",Myotonic Dystrophy,D017237,D049310,D009205,D017696,D009223
Acne Inversa,2,Trachoma,Pityriasis Rubra Pilaris,Rheumatoid Vasculitis,Insulinoma,Iritis,D014141,D010916,D056653,D007340,D007500
Hodgkin Lymphoma,2,Hodgkin Disease,Intraocular Lymphoma,Burkitt Lymphoma,"Lymphoma, Mantle-Cell","Lymphoma, Follicular",D006689,D064090,D002051,D020522,D008224
Lipomas,2,Lip Neoplasms,Lipoblastoma,"Liposarcoma, Myxoid",Prolactinoma,"Lipomatosis, Multiple Symmetrical",D008048,D062689,D018208,D015175,D008069
Timothy Syndrome,2,Turner Syndrome,Euthyroid Sick Syndromes,Trichothiodystrophy Syndromes,Syndrome,Sick Sinus Syndrome,D014424,D005067,D054463,D013577,D012804
Paranoid Schizophrenia,2,Paraneoplastic Cerebellar Degeneration,Paraneoplastic Polyneuropathy,Paraneoplastic Endocrine Syndromes,Nasal Polyps,Petrositis,D020362,D020364,D009384,D009298,D059270
Acutely Injured,2,Acute Disease,Acute Pain,"Abdomen, Acute",Lung Injury,Acute Chest Syndrome,D000208,D059787,D000006,D055370,D056586
Anaphylaxis,2,Anaphylaxis,Venom Hypersensitivity,Peanut Hypersensitivity,Erythema Ab Igne,Mast Cell Activation Syndrome,D000707,D000092422,D021183,D000089965,D000090267
Reactive Oxygen Injury,2,Myocardial Reperfusion Injury,"Arthritis, Reactive",Lung Injury,Diffuse Axonal Injury,Blast Injuries,D015428,D016918,D055370,D020833,D001753
Fever,2,Drug Fever,Rheumatic Fever,Typhoid Fever,Q Fever,Fever of Unknown Origin,D000092582,D012213,D014435,D011778,D005335
Psoriasis Vulgaris,2,Lupus Vulgaris,"Arthritis, Psoriatic",Ichthyosis Vulgaris,Pemphigus,Pityriasis Lichenoides,D008177,D015535,D016112,D010392,D017514
Asthma;Rhinitis,2,"Rhinitis, Vasomotor","Rhinitis, Allergic, Seasonal","Rhinitis, Atrophic","Asthma, Occupational","Aspergillosis, Allergic Bronchopulmonary",D012223,D006255,D012222,D059366,D001229
Hepatic Fibrosis,2,Pulmonary Fibrosis,Hepatic Encephalopathy,Peritoneal Fibrosis,"Tuberculosis, Hepatic",Hepatic Infarction,D011658,D006501,D056627,D014386,D000081011
Secondary Progressive Multiple Sclerosis,2,"Multiple Sclerosis, Chronic Progressive","Leukoencephalopathy, Progressive Multifocal","Multiple Sclerosis, Relapsing-Remitting","Supranuclear Palsy, Progressive",Primary Myelofibrosis,D020528,D007968,D020529,D013494,D055728
Rhinitis,2,"Rhinitis, Vasomotor","Rhinitis, Atrophic","Rhinitis, Allergic, Seasonal",Rhinophyma,Rhinoscleroma,D012223,D012222,D006255,D012224,D012226
Sebaceous Gland Carcinoma,2,Sweat Gland Neoplasms,"Carcinoma, Skin Appendage",Anal Gland Neoplasms,Adrenocortical Carcinoma,Mammary Analogue Secretory Carcinoma,D013544,D018280,D000694,D018268,D000069295
Langerhans Cell Histiocytosis,2,Langerhans Cell Sarcoma,"Histiocytosis, Sinus",Histiocytic Sarcoma,Histiocytic Necrotizing Lymphadenitis,Langer-Giedion Syndrome,D054752,D015618,D054747,D020042,D015826
Non-Specific Interstitial Pneumonia,2,"Pneumonia, Pneumocystis","Pneumonia, Necrotizing","Pneumonia, Ventilator-Associated",Pulmonary Emphysema,"Pasteurellosis, Pneumonic",D011020,D000071067,D053717,D011656,D012766
Aortic Stenosis,2,"Aortic Stenosis, Supravalvular",Aortic Valve Insufficiency,Tracheal Stenosis,Carotid Stenosis,Aortic Rupture,D021921,D001022,D014135,D016893,D001019
Aphthous Stomatitis,2,"Stomatitis, Aphthous","Stomatitis, Herpetic",Aphonia,Vesicular Stomatitis,"Stomatitis, Denture",D013281,D013283,D001044,D054243,D013282
Endotoxemia,2,Endotoxemia,Enterotoxemia,Endoleak,Hyperamylasemia,Microstomia,D019446,D004767,D057867,D034321,D008865
Ovarian Cancer Stage I,2,"Carcinoma, Ovarian Epithelial",Primary Ovarian Insufficiency,Hereditary Breast and Ovarian Cancer Syndrome,Ovarian Hyperstimulation Syndrome,Pelvic Neoplasms,D000077216,D016649,D061325,D016471,D010386
Endometrial Cancer,2,Endometrial Stromal Tumors,"Carcinoma, Endometrioid",Endometrial Hyperplasia,Uterine Cervical Neoplasms,Endometritis,D036821,D018269,D004714,D002583,D004716
Discoid Lupus Erythematosus,2,"Panniculitis, Lupus Erythematosus",Tooth Discoloration,Intervertebral Disc Degeneration,Osteochondritis Dissecans,Nephrogenic Fibrosing Dermopathy,D015435,D014075,D055959,D010008,D054989
Hereditary Pheochromocytoma-Paraganglioma,2,Pheochromocytoma,"Colorectal Neoplasms, Hereditary Nonpolyposis","Histiocytoma, Benign Fibrous","Hypoadrenocorticism, Familial","Histiocytoma, Malignant Fibrous",D010673,D003123,D018219,D000075262,D051677
Xeroderma Pigmentosum,2,Xeroderma Pigmentosum,Xerophthalmia,Urticaria Pigmentosa,Chromoblastomycosis,Pyoderma Gangrenosum,D014983,D014985,D014582,D002862,D017511
Primary Sclerosing Cholangitis,2,"Cholangitis, Sclerosing",Subacute Sclerosing Panencephalitis,Scleritis,"Liver Cirrhosis, Biliary",Acalculous Cholecystitis,D015209,D013344,D015423,D008105,D042101
Restrictive Respiratory Disease,2,"Cardiomyopathy, Restrictive",Severe Acute Respiratory Syndrome,Respiratory Paralysis,Rheumatic Heart Disease,"Alkalosis, Respiratory",D002313,D045169,D012133,D012214,D000472
Proliferative Diabetic Retinopathy,2,Diabetic Retinopathy,"Vitreoretinopathy, Proliferative",Retinopathy of Prematurity,Diabetic Cardiomyopathies,Diabetic Neuropathies,D003930,D018630,D012178,D058065,D003929
T-Cell Lymphoma,2,"Lymphoma, T-Cell, Peripheral","Leukemia-Lymphoma, Adult T-Cell",Precursor T-Cell Lymphoblastic Leukemia-Lymphoma,Enteropathy-Associated T-Cell Lymphoma,"Lymphoma, Mantle-Cell",D016411,D015459,D054218,D058527,D020522
Interstitial Cystitis,2,"Cystitis, Interstitial",Cystinosis,Cystocele,Cystinuria,"Pregnancy, Interstitial",D018856,D003554,D052858,D003555,D065167
7Q11.23 Microduplication Syndrome,2,Jacobsen Distal 11q Deletion Syndrome,Trisomy 13 Syndrome,Chromosome Deletion,Trisomy 18 Syndrome,LEOPARD Syndrome,D054868,D000073839,D002872,D000073842,D044542
Bronchiolitis; Viral,2,"Bronchiolitis, Viral","Alkalosis, Respiratory",Bronchiolitis Obliterans Syndrome,"Aspergillosis, Allergic Bronchopulmonary",Infectious Bovine Rhinotracheitis,D001990,D000472,D000092122,D001229,D007241
Infectious Keratitis,2,Infectious Mononucleosis,Feline Infectious Peritonitis,Infectious Bovine Rhinotracheitis,"Ectromelia, Infectious","Keratitis, Dendritic",D007244,D016766,D007241,D004482,D007635
Chronic Wounding,2,Chronic Pain,Chronic Periodontitis,"Brain Injury, Chronic","Candidiasis, Chronic Mucocutaneous",Chronic Traumatic Encephalopathy,D059350,D055113,D020208,D002178,D000070627
Autoimmune Lymphoproliferative Syndrome,2,Autoimmune Lymphoproliferative Syndrome,"Polyendocrinopathies, Autoimmune",Mucocutaneous Lymph Node Syndrome,Postpoliomyelitis Syndrome,POEMS Syndrome,D056735,D016884,D009080,D016262,D016878
Invasive Aspergillosis,2,Invasive Pulmonary Aspergillosis,"Aspergillosis, Allergic Bronchopulmonary","Hydatidiform Mole, Invasive","Tuberculoma, Intracranial",Mucormycosis,D055744,D001229,D002820,D016862,D009091
Hereditary Spastic Paraplegia 3A,2,"Spastic Paraplegia, Hereditary","Paraparesis, Tropical Spastic","Paraparesis, Spastic",Hereditary Angioedema Type III,"Exostoses, Multiple Hereditary",D015419,D015493,D020336,D056828,D005097
Epilepsy,2,"Epilepsy, Absence","Epilepsy, Rolandic","Epilepsy, Temporal Lobe","Epilepsy, Frontal Lobe","Epilepsy, Reflex",D004832,D019305,D004833,D017034,D020195
Idiopathic Dilated Cardiomyopathy,2,"Cardiomyopathy, Dilated",Diabetic Cardiomyopathies,"Cardiomyopathy, Alcoholic","Cardiomyopathy, Hypertrophic, Familial",Idiopathic Hypersomnia,D002311,D058065,D002310,D024741,D020177
Depression,2,Vascular Depression,"Depression, Postpartum","Skull Fracture, Depressed",Dehydration,Hyponatremia,D000088323,D019052,D020204,D003681,D007010
Prostate Carcinoma,2,"Carcinoma, Pancreatic Ductal",Nasopharyngeal Carcinoma,"Carcinoma, Papillary",Parathyroid Neoplasms,"Prostatic Neoplasms, Castration-Resistant",D021441,D000077274,D002291,D010282,D064129
Uc - Pancolitis,2,"Colitis, Ulcerative",Pancoast Syndrome,"Colitis, Lymphocytic","Enterocolitis, Necrotizing",Pancytopenia,D003093,D010178,D046730,D020345,D010198
Craniosynostosis,2,Craniopharyngioma,Neurocytoma,Frontal Sinusitis,Holoprosencephaly,Gliosis,D003397,D018306,D015522,D016142,D005911
Adenocarcinoma; Metastatic,2,"Adenocarcinoma, Bronchiolo-Alveolar","Carcinoma, Pancreatic Ductal",Neoplasm Micrometastasis,"Carcinoma, Medullary","Carcinoma, Acinar Cell",D002282,D021441,D061206,D018276,D018267
Allergic Contact Dermatitis,2,"Dermatitis, Atopic",Dermatitis Herpetiformis,"Dermatitis, Photoallergic","Conjunctivitis, Allergic","Dermatitis, Occupational",D003876,D003874,D017454,D003233,D009783
Adenocarcinoma of Esophagus,2,Esophageal Squamous Cell Carcinoma,"Adenocarcinoma, Bronchiolo-Alveolar",Adenocarcinoma in Situ,"Carcinoma, Adenosquamous",Esophageal Atresia,D000077277,D002282,D065311,D018196,D004933
Candidemia,2,Candidemia,Fungemia,Tularemia,"Candidiasis, Oral","Candidiasis, Cutaneous",D058387,D016469,D014406,D002180,D002179
Vogt-Koyanagi-Harada Disease,2,Kaposi Varicelliform Eruption,Hepatic Veno-Occlusive Disease,Kounis Syndrome,Vesicular Stomatitis,Gaucher Disease,D007617,D006504,D000074962,D054243,D005776
Smoldering Myeloma,2,Smoldering Multiple Myeloma,Multiple Myeloma,Monoclonal Gammopathy of Undetermined Significance,Melorheostosis,"Mesothelioma, Malignant",D000075122,D009101,D008998,D008557,D000086002
Acute Wounding,2,Acute Pain,Acute Disease,"Abdomen, Acute",Acute Generalized Exanthematous Pustulosis,Acute Radiation Syndrome,D059787,D000208,D000006,D056150,D054508
