mesh_id,label,tree_numbers,tree_categories,n_articles,annotation,scope_note,chunk_number,sorted_tree_categories,first_tree_category
D006691,Classical Swine Fever,"['C01.925.782.350.675.200', 'C22.905.170']","['C01', 'C22']",3881,do not confuse entry termSWINE FEVERwithAFRICAN SWINE FEVER; don't forget alsoSWINE(NIM),"An acute, highly contagious disease affecting swine of all ages and caused by theCLASSICAL SWINE FEVER VIRUS. It has a sudden onset with high morbidity and mortality.",1,"['C01', 'C22']",C01
D019142,"Hemorrhagic Fever, Ebola","['C01.925.782.417.415', 'C01.925.782.580.250.400']",['C01'],12804,,"A highly fatal, acute hemorrhagic fever caused byEBOLAVIRUS.",1,['C01'],C01
D008379,Marburg Virus Disease,"['C01.925.782.417.560', 'C01.925.782.580.250.500', 'C22.735.500.500']","['C01', 'C22']",1135,,"AnRNAvirus infection of rhesus, vervet, and squirrel monkeys transmissible to man.",1,"['C01', 'C22']",C01
D001890,Borna Disease,"['C01.925.782.580.124', 'C22.152']","['C01', 'C22']",800,,"An encephalomyelitis of horses, sheep and cattle caused byBORNA DISEASE VIRUS.",1,"['C01', 'C22']",C01
D009521,Newcastle Disease,"['C01.925.782.580.600.080.600', 'C22.131.630']","['C01', 'C22']",7135,don't forget alsoBIRDS(NIM) orPOULTRY(NIM) or specific bird or fowl (IM) & check tagANIMALS,"An acute febrile, contagious, viral disease of birds caused by anAVULAVIRUScalledNEWCASTLE DISEASE VIRUS. It is characterized by respiratory and nervous symptoms in fowl and is transmissible to man causing a severe, but transient conjunctivitis.",1,"['C01', 'C22']",C01
D045464,Henipavirus Infections,['C01.925.782.580.600.400'],['C01'],1774,,"Infections with viruses of the genusHENIPAVIRUS, familyPARAMYXOVIRIDAE.",1,['C01'],C01
D004216,Distemper,"['C01.925.782.580.600.500.285', 'C22.268.265']","['C01', 'C22']",2273,don't forget alsoDOGS(NIM) or other animal + check tagANIMALSbut in cats =FELINE PANLEUKOPENIA(IM) +CATS(NIM) + check tagANIMALS,"A name for several highly contagious viral diseases of animals, especially canine distemper. In dogs, it is caused by the canine distemper virus (DISTEMPER VIRUS, CANINE). It is characterized by a diphasic fever, leukopenia, gastrointestinal and respiratory inflammation and sometimes, neurologic complications. In cats it is known asFELINE PANLEUKOPENIA.",1,"['C01', 'C22']",C01
D029021,Peste-des-Petits-Ruminants,"['C01.925.782.580.600.500.600', 'C22.706']","['C01', 'C22']",5908,,"A highly fatal contagious disease of goats and sheep caused byPESTE-DES-PETITS-RUMINANTS VIRUS. The disease may be acute or subacute and is characterized by stomatitis, conjunctivitis, diarrhea, and pneumonia.",1,"['C01', 'C22']",C01
D012301,Rinderpest,"['C01.925.782.580.600.500.700', 'C22.780']","['C01', 'C22']",1087,,"A viral disease of cloven-hoofed animals caused byMORBILLIVIRUS. It may be acute, subacute, or chronic with the major lesions characterized by inflammation and ulceration of the entire digestive tract. The disease was declared successfully eradicated worldwide in 2010.",1,"['C01', 'C22']",C01
D018357,Respiratory Syncytial Virus Infections,['C01.925.782.580.600.550.750'],['C01'],14121,caused by a pneumovirus,Pneumovirus infections caused by theRESPIRATORY SYNCYTIAL VIRUSES. Humans and cattle are most affected but infections in goats and sheep have been reported.,1,['C01'],C01
D009107,Mumps,"['C01.925.782.580.600.680.500', 'C07.465.815.470.800.630']","['C01', 'C07']",16004,"caused by theMUMPS VIRUS, a rubulavirus","An acute infectious disease caused byRUBULAVIRUS, spread by direct contact, airborne droplet nuclei, fomites contaminated by infectious saliva, and perhaps urine, and usually seen in children under the age of 15, although adults may also be affected. (From Dorland, 28th ed)",1,"['C01', 'C07']",C01
D031941,"Hemorrhagic Septicemia, Viral","['C01.925.782.580.830.450', 'C22.362.450', 'C23.550.470.790.500.900.400']","['C01', 'C22', 'C23']",855,,"A systemic infection of various salmonid and a few nonsalmonid fishes caused by Viral hemorrhagic septicemia virus (seeNOVIRHABDOVIRUS),",1,"['C01', 'C23', 'C22']",C01
D011818,Rabies,['C01.925.782.580.830.750'],['C01'],22048,human & animal; coordinate withNEGLECTED DISEASESif pertinent,"AcuteVIRAL CNS INFECTIONaffecting mammals, including humans. It is caused byRABIES VIRUSand usually spread by contamination with virus-laden saliva of bites inflicted by rabid animals. Important animal vectors include the dog, cat, bat, fox, raccoon, skunk, and wolf.",1,['C01'],C01
D054243,Vesicular Stomatitis,"['C01.925.782.580.830.825', 'C07.465.864.968', 'C22.952']","['C01', 'C07', 'C22']",1798,coordinate IM with specifici virus species (IM) if pertinent,"A viral disease caused by at least two distinct species (serotypes) in theVESICULOVIRUSgenus:VESICULAR STOMATITIS INDIANA VIRUSandVESICULAR STOMATITIS NEW JERSEY VIRUS. It is characterized by vesicular eruptions on theORAL MUCOSAin cattle, horses, pigs, and other animals. In humans, vesicular stomatitis causes an acute influenza-like illness.",1,"['C01', 'C22', 'C07']",C01
D019318,Porcine Reproductive and Respiratory Syndrome,"['C01.925.782.600.100.700', 'C22.905.700']","['C01', 'C22']",6684,,"A syndrome characterized by outbreaks of late term abortions, high numbers of stillbirths and mummified or weak newborn piglets, and respiratory disease in young unweaned and weaned pigs. It is caused byPORCINE RESPIRATORY AND REPRODUCTIVE SYNDROME VIRUS. (Radostits et al., Veterinary Medicine, 8th ed, p1048)",1,"['C01', 'C22']",C01
D016766,Feline Infectious Peritonitis,"['C01.925.782.600.550.200.360', 'C22.180.440']","['C01', 'C22']",1351,,"Common coronavirus infection of cats caused by the feline infectious peritonitis virus (CORONAVIRUS, FELINE). The disease is characterized by a long incubation period, fever, depression, loss of appetite, wasting, and progressive abdominal enlargement. Infection of cells of the monocyte-macrophage lineage appears to be essential in FIP pathogenesis.",1,"['C01', 'C22']",C01
D005761,"Gastroenteritis, Transmissible, of Swine","['C01.925.782.600.550.200.400', 'C22.905.469']","['C01', 'C22']",1072,a specific disease caused by a coronavirus,A condition of chronic gastroenteritis in adult pigs and fatal gastroenteritis in piglets caused by aCORONAVIRUS.,1,"['C01', 'C22']",C01
D005585,Influenza in Birds,"['C01.925.782.620.300', 'C22.131.450']","['C01', 'C22']",16972,coordinate IM with specific virus subtype (IM) if pertinent; don't forget alsoBIRDSorPOULTRY(NIM) & check tagANIMALS,"Infection of domestic and wild fowl and otherBIRDSwithINFLUENZA A VIRUS. Avian influenza usually does not sicken birds, but can be highly pathogenic and fatal in domesticPOULTRY.",1,"['C01', 'C22']",C01
D018188,Cardiovirus Infections,['C01.925.782.687.150'],['C01'],792,caused by a picornavirus,"Infections caused by viruses of the genusCARDIOVIRUS, familyPICORNAVIRIDAE.",1,['C01'],C01
D006232,"Hand, Foot and Mouth Disease",['C01.925.782.687.359.213.331'],['C01'],6104,do not confuse withFOOT-AND-MOUTH DISEASEor withHAND-FOOT SYNDROME,"A mild, highly infectious viral disease of children, characterized by vesicular lesions in the mouth and on the hands and feet. It is caused by coxsackieviruses A.",1,['C01'],C01
D006557,Herpangina,"['C01.925.782.687.359.213.466', 'C01.925.782.687.359.347.500']",['C01'],817,,"Acute types of coxsackievirus infections orECHOVIRUS INFECTIONSthat usually affect children during the summer and are characterized by vesiculoulcerative lesions on theMUCOUS MEMBRANESof theTHROAT;DYSPHAGIA;VOMITING, andFEVER.",1,['C01'],C01
D004682,"Encephalomyelitis, Enzootic Porcine","['C01.925.782.687.359.456', 'C22.905.323']","['C01', 'C22']",1428,caused by an enterovirus; don't forget alsoSWINE(NIM) & check tagANIMALS,A picornavirus infection producing symptoms similar to poliomyelitis in pigs.,1,"['C01', 'C22']",C01
D005536,Foot-and-Mouth Disease,"['C01.925.782.687.484', 'C22.380']","['C01', 'C22']",9927,"do not confuse withHAND, FOOT AND MOUTH DISEASE; check tagANIMALS",A highly infectious disease caused byFOOT AND MOUTH DISEASE VIRUSthat affects mammals of theARTIODACTYLAorder (CATTLE;SHEEP;GOATS; andPIGS) and is characterized by high fever followed by the appearance of blisters inside the mouth and on the feet.,1,"['C01', 'C22']",C01
D012400,Rotavirus Infections,['C01.925.782.791.814'],['C01'],13595,caused by a reovirus,"Infection with any of the rotaviruses. Specific infections include human infantile diarrhea, neonatal calf diarrhea, and epidemic diarrhea of infant mice.",1,['C01'],C01
D001353,Avian Leukosis,"['C01.925.782.815.096', 'C01.925.928.120', 'C04.557.337.372.216', 'C04.619.531.216', 'C15.378.508.372.216', 'C22.131.094']","['C01', 'C04', 'C15', 'C22']",1620,don't forget alsoBIRDS(NIM) or specific bird (IM) & check tagANIMALS,"A group of transmissible viral diseases of chickens and turkeys. Liver tumors are found in most forms, but tumors can be found elsewhere.",1,"['C01', 'C22', 'C04', 'C15']",C01
D016583,Enzootic Bovine Leukosis,"['C01.925.782.815.200.260', 'C04.557.337.100', 'C15.378.508.100', 'C20.673.483.260', 'C22.196.260']","['C01', 'C04', 'C15', 'C20', 'C22']",2702,"a specific dis caused byBOVINE LEUKEMIA VIRUS(seeLEUKEMIA VIRUS, BOVINE): do not confuse with the general groupBLV INFECTIONSseeDELTARETROVIRUS INFECTIONS; don't forget alsoCATTLE(NIM) & check tagANIMALS","A lymphoid neoplastic disease in cattle caused by the bovine leukemia virus. Enzootic bovine leukosis may take the form of lymphosarcoma, malignant lymphoma, or leukemia but the presence of malignant cells in the blood is not a consistent finding.",1,"['C15', 'C20', 'C04', 'C01', 'C22']",C15
D015491,HTLV-II Infections,"['C01.925.782.815.200.480', 'C20.673.483.480']","['C01', 'C20']",1587,,Diseases caused byHUMAN T-LYMPHOTROPIC VIRUS 2.,1,"['C20', 'C01']",C20
D004859,Equine Infectious Anemia,"['C01.925.782.815.616.300', 'C01.925.839.375', 'C22.488.304']","['C01', 'C22']",1301,,"Viral disease of horses caused by the equine infectious anemia virus (EIAV;INFECTIOUS ANEMIA VIRUS, EQUINE). It is characterized by intermittent fever, weakness, and anemia. Chronic infection consists of acute episodes with remissions.",1,"['C01', 'C22']",C01
D016181,Feline Acquired Immunodeficiency Syndrome,"['C01.925.782.815.616.350', 'C01.925.839.400', 'C22.180.350']","['C01', 'C22']",1258,"coordinate withFELINE IMMUNODEFICIENCY VIRUSorLEUKEMIA VIRUS, FELINE",Acquired defect of cellular immunity that occurs in cats infected with feline immunodeficiency virus (FIV) and in some cats infected with feline leukemia virus (FeLV).,1,"['C01', 'C22']",C01
D016097,Simian Acquired Immunodeficiency Syndrome,"['C01.925.782.815.616.850', 'C01.925.839.850', 'C22.735.500.850']","['C01', 'C22']",6805,"coord IM withRETROVIRUSES, SIMIANor a specific (IM) orMASON-PFIZER MONKEY VIRUS(IM) orSIMIAN IMMUNODEFICIENCY VIRUS(IM) if pertinent","Acquired defect of cellular immunity that occurs naturally in macaques infected with SRV serotypes, experimentally in monkeys inoculated with SRV orMASON-PFIZER MONKEY VIRUS; (MPMV), or in monkeys infected withSIMIAN IMMUNODEFICIENCY VIRUS.",1,"['C01', 'C22']",C01
D016183,Murine Acquired Immunodeficiency Syndrome,"['C01.925.782.815.650', 'C01.925.928.650', 'C22.795.650']","['C01', 'C22']",975,don't forget check tagMICE,"Acquired defect of cellular immunity that occurs in mice infected with mouse leukemia viruses (MuLV). The syndrome shows striking similarities with humanAIDSand is characterized by lymphadenopathy, profound immunosuppression, enhanced susceptibility to opportunistic infections, and B-cell lymphomas.",1,"['C01', 'C22']",C01
D001357,"Sarcoma, Avian","['C01.925.782.815.800', 'C01.925.928.800', 'C04.557.450.795.830.800', 'C04.619.857.800', 'C22.131.800']","['C01', 'C04', 'C22']",1312,don't forget alsoBIRDSorPOULTRY(NIM) or specific bird or fowl (IM),"Connective tissue tumors, affecting primarily fowl, that are usually caused by avian sarcoma viruses.",1,"['C04', 'C01', 'C22']",C04
D012410,"Rubella Syndrome, Congenital","['C01.925.782.930.700.700.700', 'C16.131.077.790']","['C01', 'C16']",3143,"caused by a rubivirus; do not use/‌congen& do not coord withINFANT, NEWBORN, DISEASES; restrict to syndrome: see MeSH definition; otherwiseRUBELLA/‌congenpermitted","Transplacental infection of the fetus with rubella usually in the first trimester of pregnancy, as a consequence of maternal infection, resulting in various developmental abnormalities in the newborn infant. They include cardiac and ocular lesions, deafness, microcephaly, mental retardation, and generalized growth retardation. (From Dorland, 27th ed)",1,"['C16', 'C01']",C16
D014766,Viremia,['C01.925.937'],['C01'],43217,coord with specific virus disease or specific virus if specific virus dis is not in MeSH (do not use/‌bloodto indicate -emia),The presence of viruses in the blood.,1,"['C01', 'C23']",C01
D000069578,Waterborne Diseases,['C01.936'],['C01'],40305,,"Illnesses due to micro-organisms and chemicals in drinking water, those caused by organisms having part of their lifecycle in water or those with water-related vectors, and others spread by aerosols containing pathogens.",1,['C01'],C01
D013530,Surgical Wound Infection,"['C01.947.692', 'C23.550.767.925']","['C01', 'C23']",61842,coordinate IM with specific infection term (IM); do not coordinate withPOSTOPERATIVE COMPLICATIONS,Infection occurring at the site of a surgical incision.,1,"['C23', 'C01']",C23
D016080,Arachnoid Cysts,"['C04.182.044', 'C04.588.614.250.387.100', 'C10.500.142.100', 'C10.551.240.375.100', 'C16.131.666.142.100']","['C04', 'C10', 'C16']",6626,non-neoplastic,"Intracranial or spinal cavities containing a cerebrospinal-like fluid, the wall of which is composed of arachnoidal cells. They are most often developmental or related to trauma. Intracranial arachnoid cysts usually occur adjacent to arachnoidal cistern and may present withHYDROCEPHALUS;HEADACHE;SEIZURES; and focal neurologic signs. (From Joynt, Clinical Neurology, 1994, Ch44, pp105-115)",1,"['C10', 'C16', 'C04']",C10
D017824,"Bone Cysts, Aneurysmal","['C04.182.089.265', 'C05.116.070.265']","['C04', 'C05']",4161,"non-neoplastic; nothing to do with ""aneurysm"": see MeSH definition; /coordinate with precoordinated organ/diseases term (but notBONE DISEASES)",Fibrous blood-filled cyst in the bone. Although benign it can be destructive causing deformity and fractures.,1,"['C05', 'C04']",C05
D001478,Basal Cell Nevus Syndrome,"['C04.182.089.530.690.150', 'C04.557.470.200.165.150', 'C04.557.470.565.165.150', 'C04.700.175', 'C05.116.099.105', 'C05.500.470.690.150', 'C07.320.450.670.130', 'C16.131.077.130', 'C16.320.700.175']","['C04', 'C05', 'C07', 'C16']",4354,coordinate IM with precoordinated organ/neoplasm (IM or NIM) only if pertinent; do not confuse entry termGORLIN-GOLTZ SYNDROMEwithGOLTZ- GORLIN SYNDROMEseeFOCAL DERMAL HYPOPLASIA,"Hereditary disorder consisting of multiple basal cell carcinomas, odontogenic keratocysts, and multiple skeletal defects, e.g., frontal and temporoparietal bossing, bifurcated and splayed ribs, kyphoscoliosis, fusion of vertebrae, and cervicothoracic spina bifida. Genetic transmission is autosomal dominant.",1,"['C16', 'C04', 'C05', 'C07']",C16
D003803,Dentigerous Cyst,"['C04.182.089.530.690.310', 'C05.500.470.690.310', 'C07.320.450.670.275']","['C04', 'C05', 'C07']",3260,non-neoplastic; coordinate with precoordinated organ/disease term,"Most common follicular odontogenic cyst. Occurs in relation to a partially erupted or unerupted tooth with at least the crown of the tooth to which the cyst is attached protruding into the cystic cavity. May give rise to an ameloblastoma and, in rare instances, undergo malignant transformation.",1,"['C07', 'C04', 'C05']",C07
D018333,"Odontogenic Cyst, Calcifying","['C04.182.089.530.690.605', 'C04.557.695.605', 'C05.500.470.690.605', 'C07.320.450.670.495']","['C04', 'C05', 'C07']",7710,neoplastic; coordinate with probablyJAW NEOPLASMSor precoordinated jaw/neoplasm term,"A mixed radiolucent-radiopaque lesion of the jaws with features of both a cyst and a solid neoplasm. It is characterized microscopically by an epithelial lining showing a palisaded layer of columnar basal cells, presence of ghost cell keratinization, dentinoid, and calcification. (Stedman, 25th ed)",1,"['C05', 'C04', 'C07']",C05
D011842,Radicular Cyst,"['C04.182.089.530.690.790.820', 'C05.500.470.690.790.820', 'C07.320.450.670.513.811', 'C07.320.830.820', 'C07.465.714.306.820']","['C04', 'C05', 'C07']",5840,"non-neoplastic periodontal cyst; coordinate with organ/disease, not organ/neoplasm",Slow-growing fluid-filled epithelial sac at the apex of a tooth with a nonvital pulp or defective root canal filling.,1,"['C07', 'C05', 'C04']",C07
D001935,Branchioma,['C04.182.117'],['C04'],2703,"neoplastic; includes branchial inclusion cyst, branchial chondroma, branchial fistula; coordinate withHEAD AND NECK NEOPLASMS","A tumor derived from branchial epithelium or branchial rests. (Dorland, 27th ed)",1,['C04'],C04
D047688,Breast Cyst,"['C04.182.156', 'C17.800.090.249']","['C04', 'C17']",1224,fluid in breast cyst: coordinate IM withCYST FLUID(NIM);FIBROCYSTIC BREAST DISEASEis also available,"A fluid-filled closed cavity or sac that is lined by anEPITHELIUMand found in theBREAST. It may appear as a single large cyst in one breast, multifocal, or bilateral inFIBROCYSTIC BREAST DISEASE.",1,"['C04', 'C17']",C04
D001994,Bronchogenic Cyst,"['C04.182.195', 'C08.127.480', 'C08.695.195', 'C16.131.740.195']","['C04', 'C08', 'C16']",2992,non-neoplastic,"A usually spherical cyst, arising as an embryonic out-pouching of the foregut or trachea. It is generally found in the mediastinum or lung and is usually asymptomatic unless it becomes infected.",1,"['C04', 'C16', 'C08']",C04
D017043,Chalazion,"['C04.182.197', 'C11.338.300']","['C04', 'C11']",1188,,A non-neoplastic cyst of theMEIBOMIAN GLANDSof the eyelid.,1,"['C04', 'C11']",C04
D015529,Choledochal Cyst,['C04.182.198'],['C04'],8373,non-neoplastic,"A congenital anatomic malformation of a bile duct, including cystic dilatation of the extrahepatic bile duct or the large intrahepatic bile duct. Classification is based on the site and type of dilatation. Type I is most common.",1,"['C06', 'C16', 'C04']",C06
D056364,Colloid Cysts,"['C04.182.199', 'C04.588.614.250.387.200', 'C10.500.142.200', 'C10.551.240.375.200', 'C16.131.666.142.200']","['C04', 'C10', 'C16']",1234,,"Benign, congenital, neuroepithelial cysts that are typically filled with a viscous mucus. They usually arise in the anterior portion of theTHIRD VENTRICLEbetween the fornices.",1,"['C04', 'C16', 'C10']",C04
D003884,Dermoid Cyst,"['C04.182.201', 'C04.557.465.910.250']",['C04'],10104,neoplastic; coord IM with precoord organ/neopl term (IM),"A tumor consisting of displaced ectodermal structures along the lines of embryonic fusion, the wall being formed of epithelium-lined connective tissue, including skin appendages, and containing keratin, sebum, and hair. (Stedman, 25th ed)",1,['C04'],C04
D004814,Epidermal Cyst,['C04.182.254'],['C04'],16669,non-neoplastic; coordinate with organ/diseases term,"Intradermal or subcutaneous saclike structure, the wall of which is stratified epithelium containing keratohyalin granules.",1,['C04'],C04
D005497,Follicular Cyst,['C04.182.300'],['C04'],7346,non-neoplastic,Cyst due to the occlusion of the duct of a follicle or small gland.,1,['C04'],C04
D045888,Ganglion Cysts,"['C04.182.347', 'C17.300.550.274']","['C04', 'C17']",12938,non-neoplastic;SYNOVIAL CYSTSis also available,"Nodular tumor-like lesions or mucoid flesh, arising from tendon sheaths,LIGAMENTS, orJOINT CAPSULE, especially of the hands, wrists, or feet. They are not true cysts as they lack epithelial wall. They are distinguished fromSYNOVIAL CYSTSby the lack of communication with a joint cavity or theSYNOVIAL MEMBRANE.",1,"['C04', 'C17']",C04
D008210,Lymphocele,"['C04.182.430', 'C15.604.510']","['C04', 'C15']",3885,non-neoplastic; coordinate with organ/disease term if relevant,Cystic mass containing lymph from diseased lymphatic channels or following surgical trauma or other injury.,1,"['C15', 'C04']",C15
D008476,Mediastinal Cyst,"['C04.182.444', 'C08.846.187.145']","['C04', 'C08']",16097,"non-neoplastic; simple mediastinal cysts commonly adjacent to pericardium; note X refs: do not coord pericardial, thoracic, thymic or tracheal cysts with respective organs or organ/dis precoord: index only underMEDIASTINAL CYST","Cysts of one of the parts of the mediastinum: the superior part, containing the trachea, esophagus, thoracic duct and thymus organs; the inferior middle part, containing the pericardium; the inferior anterior part containing some lymph nodes; and the inferior posterior part, containing the thoracic duct and esophagus.",1,"['C04', 'C08']",C04
D008639,Mesenteric Cyst,"['C04.182.473', 'C06.844.620.500']","['C04', 'C06']",4387,,A rare intra-abdominal tumor in theMESENTERY. Mesenteric cysts are usually benign and can be very large fluid-filled (2000 mL) lesions.,1,"['C04', 'C06']",C04
D009078,Mucocele,['C04.182.511'],['C04'],8220,a type of cyst; non-neoplastic,"A retention cyst of the salivary gland, lacrimal sac, paranasal sinuses, appendix, or gallbladder. (Stedman, 26th ed)",1,['C04'],C04
D011085,Polycystic Ovary Syndrome,"['C04.182.612.765', 'C12.050.351.500.056.630.580.765', 'C12.100.250.056.630.580.765', 'C19.391.630.580.765']","['C04', 'C12', 'C19']",44673,non-neoplastic,"A complex disorder characterized by infertility,HIRSUTISM;OBESITY; and various menstrual disturbances such asOLIGOMENORRHEA;AMENORRHEA;ANOVULATION. Polycystic ovary syndrome is usually associated with bilateral enlarged ovaries studded with atretic follicles, not with cysts. The term, polycystic ovary, is misleading.",1,"['C12', 'C19', 'C04']",C12
D010192,Pancreatic Pseudocyst,"['C04.182.640.692', 'C06.689.500.692']","['C04', 'C06']",14037,,Cyst-like space not lined byEPITHELIUMand contained within thePANCREAS. Pancreatic pseudocysts account for most of the cystic collections in the pancreas and are often associated with chronicPANCREATITIS.,1,"['C06', 'C04']",C06
D010864,Pilonidal Sinus,['C04.182.710'],['C04'],3086,non-neoplastic; no organ coordinate needed,"A hair-containing cyst or sinus, occurring chiefly in the coccygeal region.",1,['C04'],C04
D011151,Popliteal Cyst,['C04.182.867.500'],['C04'],3191,non-neoplastic,"A SYNOVIAL CYST located in the back of the knee, in the popliteal space arising from the semimembranous bursa or the knee joint.",1,['C04'],C04
D052958,Tarlov Cysts,"['C04.182.872', 'C10.668.829.900']","['C04', 'C10']",10081,non-neoplastic,"Perineurial cysts commonly found in theSACRAL REGION. They arise from thePERINEURIUMmembrane within theSPINAL NERVE ROOTS. The distinctive feature of the cysts is the presence of spinal nerve root fibers within the cyst wall, or the cyst cavity itself.",1,"['C10', 'C04']",C10
D013955,Thyroglossal Cyst,['C04.182.902'],['C04'],2350,"non-neoplastic; ""thyroglossal duct"" probably goes here","A cyst in the neck caused by persistence of portions of, or by lack of closure of, the primitive thyroglossal duct. (Dorland, 27th ed)",1,['C04'],C04
D014496,Urachal Cyst,['C04.182.946'],['C04'],3312,non-neoplastic; do not confuse with patent urachus (=URACHUS/‌abnorm),"Cyst occurring in a persistent portion of the urachus, presenting as an extraperitoneal mass in the umbilical region. It is characterized by abdominal pain, and fever if infected. It may rupture, leading to peritonitis, or it may drain through the umbilicus.",1,['C04'],C04
D016715,Proteus Syndrome,"['C04.445.435.500', 'C04.651.435.500', 'C05.116.099.750', 'C05.660.585.620', 'C16.131.077.740', 'C16.131.621.585.620']","['C04', 'C05', 'C16']",2531,"hamartomas & multiple abnorm; ""Proteus"" refers to the sea god in Greek mythol who could assume many forms; do not use/‌congen& do not coord withINFANT, NEWBORN, DISEASES","Hamartoneoplastic malformation syndrome of uncertain etiology characterized by partialGIGANTISMof the hands and/or feet, asymmetry of the limbs, plantar hyperplasia, hemangiomas (HEMANGIOMA), lipomas (LIPOMA), lymphangiomas (LYMPHANGIOMA), epidermalNEVI;MACROCEPHALY; cranialHYPEROSTOSIS, and long-bone overgrowth. Joseph Merrick, the so-called elephant man, apparently suffered from Proteus syndrome and notNEUROFIBROMATOSIS, a disorder with similar characteristics.",1,"['C16', 'C05', 'C04']",C16
D054975,Pallister-Hall Syndrome,"['C04.445.622', 'C04.588.614.250.195.885.500.299', 'C05.660.585.600.374', 'C10.228.140.211.885.500.299', 'C10.228.140.617.477.299', 'C10.551.240.250.700.500.249', 'C16.131.077.690', 'C16.131.621.585.600.374']","['C04', 'C05', 'C10', 'C16']",2418,,"A pleiotropic disorder of human development that comprises hypothalamicHAMARTOMA; central and postaxialPOLYDACTYLY; bifidEPIGLOTTIS;ANAL ATRESIA; and renal and other abnormalities. This disorder is associated withFRAMESHIFT MUTATIONSin the GLI3 gene which encodes the GLI3 protein, aKRUPPEL-LIKE TRANSCRIPTION FACTORSfamily member.",1,"['C16', 'C05', 'C10', 'C04']",C16
D014402,Tuberous Sclerosis,"['C04.445.810', 'C04.651.800', 'C04.700.700', 'C10.500.507.400.750', 'C10.562.850', 'C10.574.500.865', 'C16.131.666.507.400.750', 'C16.320.400.880', 'C16.320.700.700']","['C04', 'C10', 'C16']",21556,,"Autosomal dominant neurocutaneous syndrome classically characterized byMENTAL RETARDATION;EPILEPSY; and skin lesions (e.g., adenoma sebaceum and hypomelanotic macules). There is, however, considerable heterogeneity in the neurologic manifestations. It is also associated with cortical tuber andHAMARTOMASformation throughout the body, especially the heart, kidneys, and eyes. Mutations in two loci TSC1 and TSC2 that encode hamartin and tuberin, respectively, are associated with the disease.",1,"['C16', 'C10', 'C04']",C16
D054740,"Dendritic Cell Sarcoma, Follicular","['C04.557.227.190', 'C15.604.250.390.190']","['C04', 'C15']",3451,,Sarcoma ofFOLLICULAR DENDRITIC CELLSmost often found in the lymph nodes. This rare neoplasm occurs predominately in adults.,1,"['C15', 'C04']",C15
D054739,"Dendritic Cell Sarcoma, Interdigitating","['C04.557.227.199', 'C15.604.250.390.199']","['C04', 'C15']",724,,A rare sarcoma ofINTERDIGITATING CELLSfound in the lymph nodes and non-lymphoid organs. They exhibit a variable immunophenotype and lack Birbeck granules.,1,"['C15', 'C04']",C15
D054747,Histiocytic Sarcoma,"['C04.557.227.380', 'C15.604.250.390.380']","['C04', 'C15']",2990,,"Malignant neoplasms composed ofMACROPHAGESorDENDRITIC CELLS. Most histiocytic sarcomas present as localized tumor masses without a leukemic phase. Though the biological behavior of these neoplasms resemble lymphomas, their cell lineage is histiocytic not lymphoid.",1,"['C04', 'C15']",C04
D054752,Langerhans Cell Sarcoma,"['C04.557.227.500', 'C15.604.250.390.500']","['C04', 'C15']",1492,,"Rare malignant neoplasm of dendriticLANGERHANS CELLSexhibiting atypical cytology, frequent mitoses, and aggressive clinical behavior. They can be distinguished from other histiocytic and dendritic proliferations by immunohistochemical and ultrastructure studies. Cytologically benign proliferations of Langerhans cells are calledLANGERHANS CELL HISTIOCYTOSIS.",1,"['C04', 'C15']",C04
D007939,Leukemia L1210,"['C04.557.337.372.594', 'C04.619.531.594', 'C15.378.508.372.594']","['C04', 'C15']",7574,,An experimentalLYMPHOCYTIC LEUKEMIAof mice.,1,"['C15', 'C04']",C15
D007940,Leukemia L5178,"['C04.557.337.372.602', 'C04.619.531.602', 'C15.378.508.372.602']","['C04', 'C15']",857,,An experimental lymphocytic leukemia of mice.,1,"['C15', 'C04']",C15
D007941,Leukemia P388,"['C04.557.337.372.782', 'C04.619.531.782', 'C15.378.508.372.782']","['C04', 'C15']",3486,,An experimental lymphocytic leukemia originally induced in DBA/2 mice by painting with methylcholanthrene.,1,"['C15', 'C04']",C15
D007943,"Leukemia, Hairy Cell","['C04.557.337.415', 'C15.378.508.415', 'C15.604.515.553', 'C20.683.515.517']","['C04', 'C15', 'C20']",8817,"since the disease is chronic, do not coordinate withCHRONIC DISEASE; note entry termRETICULOENDOTHELIOSIS, LEUKEMIC;:RETICULOENDOTHELIOSIS, AVIANis also available","A neoplastic disease of the lymphoreticular cells which is considered to be a rare type of chronic leukemia; it is characterized by an insidious onset, splenomegaly, anemia, granulocytopenia, thrombocytopenia, little or no lymphadenopathy, and the presence of hairy or flagellated cells in the blood and bone marrow.",1,"['C15', 'C04', 'C20']",C15
D015451,"Leukemia, Lymphocytic, Chronic, B-Cell","['C04.557.337.428.080.125', 'C15.378.508.428.080.125', 'C15.604.515.560.080.125', 'C20.683.515.528.080.125', 'C23.550.291.500.483']","['C04', 'C15', 'C20', 'C23']",71379,,A chronic leukemia characterized by abnormal B-lymphocytes and often generalized lymphadenopathy. In patients presenting predominately with blood and bone marrow involvement it is called chronic lymphocytic leukemia (CLL); in those predominately with enlarged lymph nodes it is called small lymphocytic lymphoma. These terms represent spectrums of the same disease.,1,"['C15', 'C04', 'C20', 'C23']",C15
